id,path,duration_sec,sample_rate,channels,bit_depth,original_path,original_name,text
35,data\35.wav,7.765397,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_nbpjfmvmi_frase_7_2017-11-16_26_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,converted_nbpjfmvmi_frase_7_2017-11-16_26_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,Tenho aptidão para tirar fotos de motos e guitarras então percebi em dólar e com
36,data\36.wav,16.29873,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_nbpjfmvmi_frase_8_2017-11-16_26_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,converted_nbpjfmvmi_frase_8_2017-11-16_26_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,"Eu criei muita expectativa nesse trabalho. O chefe não ouviu meu clamor, continuou sorrindo para mim e segurando a colher. Estava suja de abacate, ele disse. A palavra caçador se escreve com seis cedilha."
37,data\37.wav,12.117415,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_nbpjfmvmi_frase_9_2017-11-16_26_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,converted_nbpjfmvmi_frase_9_2017-11-16_26_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,"O Brasil é um país injusto e desigual. É errado não partilhar a comida com os mais necessitados, mas só volta quem tiver o título de eleitor."
38,data\38.wav,9.813379,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_10_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_10_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"Esse canal tem bastante pornografia e a abertura do campeonato ocorreu antes de ontem, quando os turistas japoneses procuravam belas casas para alugar."
39,data\39.wav,11.776009,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_11_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_11_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"O biscoito era de chocolate com morango, por isso escolhi o bombom de chocolate ao leite com licor de amarula. Ainda precisamos comprar pau de café, pão francês, abóbora e melão."
40,data\40.wav,11.605397,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_12_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_12_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"Segurei a panela de macarrão com apenas uma mão e as duas pilhas que eu lidei caíram no chão. A ranch está embaixo do fogão, deve ser retirada logo, pois tem o medo de heptis e de minhocas."
41,data\41.wav,13.653379,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_13_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_13_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,Ele puxou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade que encontraram o corpo do mendigo numa bocada e montaram emboscada para prender os assaltantes.
42,data\42.wav,7.594694,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_14_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_14_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,Ele ficou chateado porque foi chamado de burro pelo escrivão Zangado enquanto lavava os fogos azul de ilã com água e sabão.
43,data\43.wav,7.765397,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_15_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_15_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"Link em o escrivão mora sozinho perto da plantação de feijão, e sorte que o jacaré que fugiu do zoológico já foi encontrado."
44,data\44.wav,7.765397,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_16_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_16_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as flores da rua em que a criança desenhou o vulcão.
45,data\45.wav,14.506712,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_1_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_1_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"Eu rasguei todo o meu dinheiro em vão. Minha família depende da aposentadoria do meu avô, mas o dia amanheceu insolarado e eu fiquei feliz porque minha tia viajou para Porto Alegre às 7 horas."
46,data\46.wav,14.336009,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_2_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_2_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"O telejornal da Gobo terminou agora a pouco, todos se levantaram, a porta bateu forte e meu tio xingou bastante, mas disse que é um grande prazer teus sobrinhos hospedados em casa e não em um dos hotéis do sudoeste."
47,data\47.wav,9.472018,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_3_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_3_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"Para venhar, preciso decifrar o código até amanhã. Os papéis foram rasgados, mas ainda é possível ler as informações importantes."
48,data\48.wav,12.117415,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_4_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_4_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,Suas atitudes são muito drásticas e resultarão em guerra entre vocês. Ela chegou a pedir o divórcio antes dele morrer e pensou que podia compartilhar esse documento com você.
49,data\49.wav,12.288027,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_5_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_5_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"Meu orientador disse que o professor de português e a professora de matemática se casaram e foram morar na Nigéria, onde o clima está muito diferente de dez anos atrás."
50,data\50.wav,11.861406,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_6_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_6_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"Você tem razão, a correção da prova não foi justa e a turma tirou notas abaixo da média. Assim como a gestão da atual prefeito, a diretoria não está agradando o povo."
51,data\51.wav,17.664036,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_7_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_7_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"Tenho aptidão para tirar fotos de motos e guitarras, então recebi em dólar e comprei um carro, joias e relógios para nós. A atriz teve uma ótima atuação no espetáculo e recebeu meus parabéns e um presente pela apresentação fantástica."
52,data\52.wav,13.909388,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_8_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_8_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"Eu criei muita expectativa neste trabalho. O chefe não ouviu meu clamor, continuou sorrindo pra mim, e segurando a colher, estava suja de abacate, ele disse. A palavra caçador se escreve com seis fedilha."
53,data\53.wav,9.642721,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_o8rrzc5zn_frase_9_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,converted_o8rrzc5zn_frase_9_2017-11-16_23_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorIncompleto.wav,"O Brasil é um país injusto e desigual, errado não partilhar a comida com os mais necessitados, mas só volta quem tiver o título de eleitor."
54,data\54.wav,13.141406,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_xcazt94e1_frase_1_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,converted_xcazt94e1_frase_1_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,"Eu rasguei todo o meu dinheiro em vão, minha família da pente da aposentadoria do meu avô, mas o dia amanhã são ensolarado e eu fiquei feliz porque minha tia viajou para Porto Alegre às 7 horas."
55,data\55.wav,13.653379,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_xcazt94e1_frase_2_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,converted_xcazt94e1_frase_2_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,"O telejornal da Globo terminou agora a pouco. Todos se levantaram, a porta bateu forte e meu tio extinguou bastante, mas disse que é um grande prazer ter os sobrinhos hospedados em casa e não em um dos atais do Sul do Oeste."
56,data\56.wav,9.813379,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_xcazt94e1_frase_3_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,converted_xcazt94e1_frase_3_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,"Para ganhar, preciso decifrar o código até amanhã. Os papéis foram rasgados, mas ainda é possível ler informações importantes."
57,data\57.wav,11.605397,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_xcazt94e1_frase_4_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,converted_xcazt94e1_frase_4_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,Suas atitudes são muito drásticas e resultarão em guerra entre vocês. Ela chegou a pedir o divorce antes dele morrer e pensou que poder compartilhar esse documento com você.
58,data\58.wav,11.349388,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_xcazt94e1_frase_5_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,converted_xcazt94e1_frase_5_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,"Meu orientador disse que o professor de português e a professora de matemática se casaram e foram morar na Nigéria, onde o clima está muito diferente de 10 anos atrás."
59,data\59.wav,11.17873,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\converted_xcazt94e1_frase_6_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,converted_xcazt94e1_frase_6_2018-02-06_29_CampinaGrande_Paraiba_Feminino_EnsinoSuperiorCompleto.wav,"Você tem razão, a correção da prova não foi justa e a turma tirou notas abaixo da média. Assim como a gestão do atual prefeito, a diretoria não está agradando o povo."
60,data\60.wav,18.0,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\f4797926-32f2-452c-8e18-97f48b0168e2.wav,f4797926-32f2-452c-8e18-97f48b0168e2.wav,"Segurei a panela de macarrão com apenas uma mão e as duas pilhas que eu lidei caíram no chão. A ranche está embaixo do fogão, deve ser retirada logo, pois tenho medo de réptis de binhocas."
61,data\61.wav,14.024898,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\REAL_converted_45r9i2thf_frase_11_2017-12-12_45_CampinaGrande_Paraiba_Masculino_Doutorado.wav,REAL_converted_45r9i2thf_frase_11_2017-12-12_45_CampinaGrande_Paraiba_Masculino_Doutorado.wav,"O biscoito era de chocolate com morango, por isso escolhi o bombom de chocolate ao leite com licor de amarula. Ainda precisamos comprar pó de café, pão francês, abóbora e melão."
62,data\62.wav,13.312018,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\REAL_converted_cj1fam4lv_frase_6_2017-11-16_24_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorIncompleto.wav,REAL_converted_cj1fam4lv_frase_6_2017-11-16_24_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorIncompleto.wav,"Você tem razão, a correção da prova não foi justa e a turma tirou notas abaixo da média, assim como a gestão do atual prefeito, a diretoria não está agradando o povo."
63,data\63.wav,9.301406,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\REAL_converted_umnmgb9w1_frase_3_2018-02-06_31_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorCompleto.wav,REAL_converted_umnmgb9w1_frase_3_2018-02-06_31_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorCompleto.wav,"Para ganhar, preciso decifrar o código até amanhã. Os papéis foram rasgados, mas ainda é possível limpar informações importantes."
64,data\64.wav,11.605397,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\REAL_converted_umnmgb9w1_frase_6_2018-02-06_31_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorCompleto.wav,REAL_converted_umnmgb9w1_frase_6_2018-02-06_31_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorCompleto.wav,"Você tem razão. A correção da prova não foi justa e a turma tirou a nota abaixo da média. Assim como a gestão da tua prefeita, a diretorina está agradando o povo."
65,data\65.wav,7.98771,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\REAL_converted_vy2pg5pak_frase_3_2017-12-12_26_CampinaGrande_Paraiba_Masculino_Mestrado.wav,REAL_converted_vy2pg5pak_frase_3_2017-12-12_26_CampinaGrande_Paraiba_Masculino_Mestrado.wav,"Para ganhar, precisa decifrar o código até amanhã. Os papéis foram rasgados, mas ainda é possível dar informações importantes."
66,data\66.wav,9.472018,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\REAL_converted_wgolwdw0a_frase_10_2018-08-25_28_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorIncompleto.wav,REAL_converted_wgolwdw0a_frase_10_2018-08-25_28_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorIncompleto.wav,"Esse canal tem baixando pornografia e a abertura do campeonato ocorreu antes de ontem, quando os turistas japoneses procuravam belas casas para lugar."
67,data\67.wav,11.946712,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\REAL_converted_wgolwdw0a_frase_12_2018-08-25_28_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorIncompleto.wav,REAL_converted_wgolwdw0a_frase_12_2018-08-25_28_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorIncompleto.wav,"Segurei a panela de macarrão com apenas um urmão e as duas pilhas que eu lidei caíram no chão. A ranche está aí embaixo do fogão. Deve ser retirada logo, pois tem um medo de réptis e de miocas."
68,data\68.wav,9.472018,22050,1,16,C:\Users\Tumais\Documents\GitHub\fala_pb\dataset\raw\REAL_converted_wgolwdw0a_frase_9_2018-08-25_28_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorIncompleto.wav,REAL_converted_wgolwdw0a_frase_9_2018-08-25_28_CampinaGrande_Paraiba_Masculino_EnsinoSuperiorIncompleto.wav,"O Brasil é um país injusto e desigual. É errado não partilhar a comida com os mais necessitados, mas só volta quem tiver o título de eleitor."
