global_step,loss
4,9.5
9,9.625
14,9.5
19,9.5
24,9.25
29,9.6875
34,9.375
39,9.375
44,9.4375
49,9.25
54,9.5625
59,9.25
64,9.375
69,9.3125
74,9.3125
79,9.375
84,9.625
89,9.375
94,9.3125
99,9.125
104,9.4375
109,9.0625
114,9.1875
119,9.25
124,9.25
129,9.1875
134,9.0625
139,9.375
144,9.25
149,9.125
154,9.3125
159,9.125
164,9.125
169,9.25
174,9.375
179,9.125
184,9.125
189,9.4375
194,8.9375
199,9.125
204,9.125
209,9.1875
214,9.125
219,9.375
224,9.25
229,9.25
234,9.25
239,9.25
244,9.0625
249,9.25
254,9.0
259,9.25
264,9.125
269,9.375
274,9.0625
279,9.125
284,9.25
289,9.0625
294,9.0
299,9.25
304,9.1875
309,9.125
314,9.125
319,9.25
324,9.25
329,9.25
334,9.0625
339,9.1875
344,9.125
349,9.0
354,9.0
359,9.25
364,9.375
369,9.125
374,9.125
379,9.0
384,9.25
389,9.1875
394,9.0
399,9.125
404,9.0
409,9.125
414,9.25
419,9.0
424,9.0
429,9.125
434,9.25
439,8.875
444,9.0
449,9.125
454,9.0625
459,9.125
464,9.25
469,9.0
474,9.0
479,8.875
484,9.0625
489,8.8125
494,9.375
499,9.125
504,9.125
509,9.1875
514,9.0625
519,9.0
524,9.125
529,8.875
534,9.125
539,9.125
544,9.25
549,9.0
554,9.125
559,9.1875
564,9.0
569,9.0625
574,9.0
579,9.0
584,9.0
589,9.0
594,9.375
599,8.9375
604,9.125
609,9.125
614,9.0625
619,9.0
624,9.125
629,9.3125
634,9.25
639,9.0625
644,9.125
649,9.125
654,9.125
659,9.125
664,9.125
669,9.0
674,8.875
679,8.8125
684,9.0
689,9.1875
694,8.75
699,8.875
704,9.375
709,9.3125
714,9.125
719,9.125
724,9.125
729,8.875
734,9.25
739,9.1875
744,8.875
749,8.9375
754,8.875
759,9.0
764,9.0
769,9.0625
774,9.0625
779,9.25
784,9.125
789,9.0
794,9.25
799,9.0
804,9.0
809,9.125
814,9.0625
819,8.9375
824,8.875
829,9.0
834,8.875
839,9.0
844,9.0
849,8.875
854,9.25
859,9.125
864,8.75
869,9.0
874,9.0
879,9.0
884,8.875
889,9.125
894,8.9375
899,9.125
904,8.875
909,8.875
914,9.125
919,9.0
924,9.0
929,9.0
934,9.1875
939,9.0
944,9.125
949,9.0
954,9.0
959,9.0
964,9.1875
969,9.0625
974,9.125
979,8.9375
984,8.875
989,9.0
994,9.125
999,8.875
1004,9.125
1009,9.25
1014,9.0
1019,9.0
1024,9.25
1029,8.75
1034,9.0625
1039,9.0
1044,9.0
1049,9.125
1054,9.5
1059,8.75
1064,9.25
1069,9.0
1074,8.75
1079,9.125
1084,9.0
1089,9.25
1094,8.8125
1099,9.125
1104,9.125
1109,9.125
1114,9.125
1119,9.125
1124,9.125
1129,9.25
1134,8.8125
1139,9.125
1144,9.0625
1149,9.125
1154,8.8125
1159,8.875
1164,9.0
1169,9.25
1174,9.25
1179,9.125
1184,9.25
1189,8.875
1194,9.125
1199,9.125
1204,9.0625
1209,9.25
1214,9.0
1219,8.875
1224,8.8125
1229,9.0625
1234,9.125
1239,9.0
1244,9.125
1249,9.0
1254,8.875
1259,8.8125
1264,9.375
1269,9.25
1274,8.9375
1279,9.125
1284,9.125
1289,9.1875
1294,8.875
1299,9.125
1304,9.0
1309,9.0
1314,9.125
1319,8.875
1324,9.0
1329,8.875
1334,9.125
1339,9.25
1344,9.0
1349,9.125
1354,9.125
1359,9.25
1364,9.0
1369,9.0
1374,9.0625
1379,8.875
1384,9.0
1389,9.0
1394,8.9375
1399,9.25
1404,9.125
1409,8.875
1414,9.0625
1419,8.8125
1424,9.1875
1429,9.1875
1434,9.0
1439,8.9375
1444,9.0625
1449,8.9375
1454,9.0
1459,9.125
1464,9.0
1469,9.0
1474,9.0
1479,9.125
1484,9.125
1489,9.125
1494,9.0
1499,8.875
1504,9.0
1509,9.0625
1514,9.0
1519,9.0
1524,8.875
1529,9.125
1534,9.125
1539,9.1875
1544,9.25
1549,9.25
1554,9.1875
1559,8.8125
1564,8.75
1569,9.125
1574,9.125
1579,9.0
1584,9.125
1589,9.3125
1594,9.0
1599,9.25
1604,9.125
1609,9.25
1614,9.0
1619,9.25
1624,9.0625
1629,9.125
1634,9.125
1639,9.125
1644,9.0
1649,9.0
1654,8.875
1659,9.125
1664,9.25
1669,9.0
1674,9.25
1679,9.125
1684,8.75
1689,9.0
1694,9.0625
1699,9.1875
1704,8.875
1709,8.75
1714,9.125
1719,9.0
1724,9.0625
1729,9.0
1734,8.875
1739,9.125
1744,9.0
1749,9.0
1754,8.875
1759,9.125
1764,9.0
1769,9.125
1774,9.125
1779,8.875
1784,9.0
1789,9.125
1794,9.125
1799,9.0
1804,8.9375
1809,9.25
1814,9.125
1819,9.0
1824,9.25
1829,8.75
1834,8.625
1839,9.125
1844,8.875
1849,9.0625
1854,9.125
1859,8.9375
1864,9.1875
1869,9.125
1874,8.9375
1879,9.125
1884,9.125
1889,8.875
1894,9.1875
1899,9.25
1904,8.875
1909,9.0625
1914,9.0625
1919,9.125
1924,9.125
1929,8.875
1934,8.9375
1939,8.875
1944,8.875
1949,9.0
1954,8.875
1959,9.0
1964,9.1875
1969,9.125
1974,9.0
1979,8.75
1984,9.1875
1989,9.125
1994,8.875
1999,9.0
2004,9.0
2009,9.0625
2014,9.1875
2019,9.0
2024,9.0
2029,8.9375
2034,8.875
2039,9.0
2044,9.125
2049,8.9375
2054,9.0625
2059,8.9375
2064,9.125
2069,8.875
2074,9.125
2079,9.25
2084,9.0
2089,9.0
2094,9.0
2099,8.875
2104,8.875
2109,8.875
2114,8.9375
2119,9.1875
2124,9.5
2129,9.0
2134,9.125
2139,9.125
2144,8.875
2149,8.9375
2154,9.0
2159,9.1875
2164,9.5
2169,9.125
2174,9.0625
2179,8.875
2184,9.125
2189,8.8125
2194,9.125
2199,8.875
2204,9.0
2209,9.25
2214,9.1875
2219,9.1875
2224,8.875
2229,9.0625
2234,8.875
2239,9.0
2244,9.1875
2249,9.125
2254,8.9375
2259,8.875
2264,9.25
2269,8.75
2274,9.0
2279,9.1875
2284,8.875
2289,9.0
2294,9.0
2299,8.75
2304,9.125
2309,9.125
2314,9.0625
2319,9.0
2324,9.0625
2329,9.3125
2334,9.125
2339,8.625
2344,9.0
2349,8.875
2354,9.0
2359,9.0625
2364,8.875
2369,8.875
2374,8.9375
2379,9.125
2384,9.125
2389,9.125
2394,8.9375
2399,9.25
2404,9.0625
2409,9.125
2414,8.9375
2419,8.875
2424,9.0
2429,9.0
2434,9.25
2439,9.0
2444,9.125
2449,9.0
2454,8.8125
2459,9.0625
2464,9.125
2469,8.875
2474,9.25
2479,8.875
2484,8.9375
2489,9.1875
2494,9.125
2499,8.875
2504,8.75
2509,8.75
2514,9.0
2519,9.1875
2524,9.0
2529,9.0
2534,8.875
2539,8.875
2544,9.0
2549,8.875
2554,9.25
2559,9.0625
2564,9.0
2569,9.0
2574,8.875
2579,8.9375
2584,8.875
2589,9.125
2594,9.0
2599,8.75
2604,9.0625
2609,9.125
2614,9.0625
2619,9.1875
2624,9.0625
2629,9.0
2634,9.0625
2639,8.875
2644,9.0
2649,9.125
2654,9.0625
2659,9.25
2664,9.0625
2669,9.3125
2674,8.75
2679,9.0
2684,9.0
2689,8.75
2694,9.0
2699,9.125
2704,9.1875
2709,8.8125
2714,9.0
2719,8.875
2724,9.1875
2729,9.0625
2734,9.125
2739,9.125
2744,9.125
2749,9.0
2754,9.0
2759,9.125
2764,9.0625
2769,9.25
2774,9.125
2779,9.0625
2784,9.125
2789,9.0
2794,9.1875
2799,9.1875
2804,9.125
2809,9.0625
2814,9.0
2819,9.125
2824,9.125
2829,9.125
2834,8.9375
2839,9.0625
2844,9.0
2849,9.0625
2854,8.875
2859,9.0625
2864,9.25
2869,9.0625
2874,9.125
2879,8.9375
2884,8.9375
2889,8.875
2894,9.125
2899,8.875
2904,9.125
2909,9.1875
2914,8.9375
2919,9.0
2924,9.125
2929,9.125
2934,9.0
2939,9.0
2944,8.9375
2949,8.75
2954,9.0
2959,9.0
2964,9.1875
2969,9.125
2974,9.1875
2979,8.9375
2984,9.125
2989,9.125
2994,9.0625
2999,9.0
3004,9.0
3009,9.125
3014,9.1875
3019,9.0
3024,9.125
3029,8.75
3034,8.625
3039,9.125
3044,9.125
3049,9.0625
3054,9.375
3059,9.25
3064,9.25
3069,8.75
3074,9.0
3079,9.0625
3084,9.0
3089,9.125
3094,9.0
3099,8.875
3104,9.3125
3109,8.9375
3114,9.0
3119,9.0
3124,9.125
3129,9.125
3134,9.0
3139,9.0625
3144,9.125
3149,8.9375
3154,8.9375
3159,8.875
3164,9.0
3169,9.0
3174,8.875
3179,8.9375
3184,9.125
3189,9.0625
3194,8.875
3199,8.9375
3204,8.8125
3209,9.25
3214,9.0625
3219,9.25
3224,9.125
3229,9.125
3234,8.9375
3239,9.0
3244,8.8125
3249,8.75
3254,8.875
3259,9.0625
3264,9.0625
3269,9.0
3274,8.6875
3279,9.125
3284,8.9375
3289,8.6875
3294,9.125
3299,9.25
3304,9.1875
3309,9.25
3314,9.0625
3319,8.875
3324,9.0625
3329,9.3125
3334,9.0625
3339,8.8125
3344,9.25
3349,9.0
3354,8.875
3359,9.125
3364,9.125
3369,9.0
3374,9.1875
3379,9.0625
3384,9.0625
3389,8.9375
3394,9.125
3399,9.125
3404,8.875
3409,8.875
3414,9.125
3419,9.0
3424,8.875
3429,9.0625
3434,8.875
3439,9.1875
3444,9.0
3449,9.0625
3454,9.125
3459,9.0625
3464,9.0
3469,9.0625
3474,9.125
3479,9.125
3484,8.9375
3489,9.1875
3494,9.0
3499,8.875
3504,9.0
3509,9.25
3514,9.0
3519,8.875
3524,9.25
3529,8.875
3534,9.0625
3539,9.125
3544,8.875
3549,9.1875
3554,9.1875
3559,9.25
3564,8.5625
3569,8.9375
3574,9.125
3579,9.125
3584,9.125
3589,9.125
3594,9.0
3599,8.875
3604,8.8125
3609,9.375
3614,8.875
3619,8.875
3624,9.0
3629,9.125
3634,9.0
3639,9.125
3644,8.875
3649,9.0
3654,8.875
3659,8.875
3664,9.0
3669,9.25
3674,8.75
3679,9.1875
3684,9.125
3689,8.9375
3694,9.25
3699,8.875
3704,9.125
3709,8.875
3714,8.875
3719,8.9375
3724,9.0625
3729,9.0625
3734,8.8125
3739,9.0625
3744,8.9375
3749,9.125
3754,9.125
3759,9.125
3764,8.8125
3769,9.0
3774,9.0
3779,8.9375
3784,9.125
3789,9.25
3794,9.0
3799,8.75
3804,9.125
3809,9.0
3814,9.0
3819,9.0625
3824,8.9375
3829,9.0
3834,9.0
3839,9.0
3844,9.0
3849,9.0
3854,9.0625
3859,9.25
3864,8.8125
3869,9.25
3874,9.125
3879,9.0
3884,8.9375
3889,9.125
3894,9.0
3899,9.1875
3904,8.9375
3909,9.125
3914,9.25
3919,8.75
3924,9.25
3929,9.1875
3934,9.0
3939,9.125
3944,9.0
3949,8.9375
3954,9.3125
3959,8.875
3964,9.0
3969,9.0
3974,9.375
3979,9.0
3984,9.0625
3989,9.0
3994,9.125
3999,9.125
4004,9.125
4009,9.0
4014,8.875
4019,8.875
4024,9.125
4029,9.0
4034,9.0625
4039,9.125
4044,9.125
4049,9.25
4054,9.375
4059,8.9375
4064,8.875
4069,9.0625
4074,9.0
4079,9.1875
4084,9.125
4089,9.125
4094,8.9375
4099,9.0
4104,9.0
4109,8.75
4114,9.125
4119,9.0
4124,8.875
4129,9.125
4134,9.125
4139,9.25
4144,9.0
4149,9.0
4154,9.0625
4159,9.125
4164,9.125
4169,8.9375
4174,9.25
4179,9.125
4184,9.0
4189,8.875
4194,8.875
4199,9.1875
4204,9.25
4209,8.875
4214,9.125
4219,9.25
4224,8.9375
4229,9.125
4234,9.0
4239,8.875
4244,8.875
4249,9.0
4254,9.0
4259,9.0625
4264,8.875
4269,9.0
4274,8.875
4279,8.875
4284,9.0
4289,8.875
4294,9.125
4299,9.125
4304,9.125
4309,8.9375
4314,8.875
4319,9.1875
4324,9.125
4329,8.875
4334,9.1875
4339,9.375
4344,9.25
4349,9.1875
4354,9.0
4359,8.8125
4364,8.8125
4369,8.875
4374,9.25
4379,9.0625
4384,9.1875
4389,9.25
4394,8.9375
4399,9.25
4404,9.125
4409,8.875
4414,9.25
4419,9.0
4424,9.0
4429,9.0625
4434,8.875
4439,8.875
4444,9.125
4449,8.75
4454,9.0
4459,8.9375
4464,9.125
4469,8.875
4474,9.125
4479,9.0
4484,9.0
4489,9.0
4494,9.0
4499,9.0
4504,9.125
4509,9.0
4514,8.875
4519,9.0
4524,9.0
4529,8.9375
4534,9.1875
4539,8.875
4544,8.8125
4549,8.9375
4554,9.0625
4559,9.0
4564,9.25
4569,9.125
4574,9.125
4579,9.125
4584,9.0
4589,9.1875
4594,9.25
4599,9.125
4604,9.25
4609,9.0
4614,8.9375
4619,9.0
4624,9.125
4629,9.375
4634,9.0
4639,9.125
4644,8.875
4649,9.1875
4654,9.125
4659,9.0
4664,8.875
4669,8.875
4674,9.1875
4679,9.125
4684,9.1875
4689,9.0
4694,8.875
4699,9.25
4704,9.25
4709,9.0
4714,9.25
4719,9.0
4724,9.0
4729,8.875
4734,8.875
4739,8.75
4744,8.875
4749,8.75
4754,8.875
4759,9.0625
4764,9.0625
4769,8.875
4774,8.75
4779,9.25
4784,9.125
4789,9.0
4794,9.125
4799,9.125
4804,9.0625
4809,9.0625
4814,8.9375
4819,9.0
4824,9.0625
4829,9.125
4834,9.25
4839,9.0
4844,8.8125
4849,9.25
4854,9.125
4859,9.125
4864,8.75
4869,9.0
4874,9.0
4879,9.1875
4884,9.0625
4889,9.0625
4894,9.125
4899,9.0
4904,8.875
4909,9.25
4914,9.1875
4919,8.75
4924,9.0
4929,9.125
4934,8.9375
4939,9.0
4944,9.1875
4949,8.875
4954,8.875
4959,9.125
4964,9.0
4969,9.1875
4974,8.9375
4979,9.0
4984,9.0
4989,9.125
4994,8.875
4999,9.125
5004,9.0
5009,9.0625
5014,9.125
5019,8.9375
5024,9.125
5029,9.0625
5034,8.875
5039,9.0
5044,8.875
5049,9.0
5054,9.125
5059,9.0
5064,8.9375
5069,9.125
5074,9.1875
5079,9.0625
5084,8.6875
5089,8.875
5094,9.0625
5099,9.0
5104,8.875
5109,9.0
5114,9.0
5119,9.0625
5124,9.0
5129,9.125
5134,9.125
5139,8.9375
5144,9.125
5149,9.0
5154,9.125
5159,9.0
5164,8.875
5169,8.9375
5174,9.0
5179,8.6875
5184,9.1875
5189,9.25
5194,9.125
5199,9.0
5204,8.875
5209,8.8125
5214,9.125
5219,8.9375
5224,8.875
5229,9.0
5234,9.25
5239,8.875
5244,9.0
5249,9.0
5254,8.75
5259,9.0
5264,9.125
5269,9.0625
5274,9.25
5279,9.1875
5284,9.25
5289,9.0625
5294,8.875
5299,8.875
